# Dénomination en français;Designation in English;Denominación en español;Dénomination abrégée en français;Short designation in English;Denominación abreviada en español;Administrative Region;comment;Date of Entry;Language
Afghanistan;Afghanistan;Afganistán;Afghanistan;Afghanistan;Afganistán;E;AFG;12.04.1928;E
Albanie (République d');Albania (Republic of);Albania (República de);Albanie;Albania;Albania;C;ALB;02.06.1922;E
Algérie (République algérienne démocratique et populaire);Algeria (People's Democratic Republic of);Argelia (República Argelina Democrática y Popular);Algérie;Algeria;Argelia;D;ALG;03.05.1963;F
Andorre (Principauté d');Andorra (Principality of);Andorra (Principado de);Andorre;Andorra;Andorra;B;AND;12.11.1993;F
Angola (République d');Angola (Republic of);Angola (República de);Angola;Angola;Angola;D;AGL;13.10.1976;E
Antigua-et-Barbuda;Antigua and Barbuda;Antigua y Barbuda;Antigua-et-Barbuda;Antigua and Barbuda;Antigua y Barbuda;A;ATG;04.02.1987;E
Argentine (République);Argentine Republic;Argentina (República);Argentine;Argentina;Argentina;A;ARG;01.01.1889;S
Arménie (République d');Armenia (Republic of);Armenia (República de);Arménie;Armenia;Armenia;C;ARM;30.06.1992;E
Australie;Australia;Australia;Australie;Australia;Australia;E;AUS;27.05.1878;E
Autriche;Austria;Austria;Autriche;Austria;Austria;B;AUT;01.01.1866;E
Azerbaïdjanaise (République);Azerbaijani Republic;Azerbaiyana (República);Azerbaïdjan;Azerbaijan;Azerbaiyán;C;AZE;10.04.1992;E
Bahamas (Commonwealth des);Bahamas (Commonwealth of the);Bahamas (Commonwealth de las);Bahamas;Bahamas;Bahamas;A;BAH;19.08.1974;E
Bahreïn (Royaume de);Bahrain (Kingdom of);Bahrein (Reino de);Bahreïn;Bahrain;Bahrein;E;BHR;01.01.1975;E
Bangladesh (République populaire du);Bangladesh (People's Republic of);Bangladesh (República Popular de);Bangladesh;Bangladesh;Bangladesh;E;BGD;05.09.1973;E
Barbade;Barbados;Barbados;Barbade;Barbados;Barbados;A;BRB;16.08.1967;E
Bélarus (République du);Belarus (Republic of);Belarús (República de);Bélarus;Belarus;Belarús;C;BLR;07.05.1947;E
Belgique;Belgium;Bélgica;Belgique;Belgium;Bélgica;B;BEL;01.01.1866;F
Belize;Belize;Belice;Belize;Belize;Belice;A;BLZ;16.12.1981;E
Bénin (République du);Benin (Republic of);Benin (República de);Bénin;Benin;Benin;D;BEN;01.01.1961;F
